,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Q,S
0,0,3,1,22.0,1,0,21171,7.25,0,1
1,1,1,0,38.0,1,0,17599,71.2833,0,0
2,1,3,0,26.0,0,0,3101282,7.925,0,1
3,1,1,0,35.0,1,0,113803,53.1,0,1
4,0,3,1,35.0,0,0,373450,8.05,0,1
6,0,1,1,54.0,0,0,17463,51.8625,0,1
7,0,3,1,2.0,3,1,349909,21.075,0,1
8,1,3,0,27.0,0,2,347742,11.1333,0,1
9,1,2,0,14.0,1,0,237736,30.0708,0,0
10,1,3,0,4.0,1,1,9549,16.7,0,1
11,1,1,0,58.0,0,0,113783,26.55,0,1
12,0,3,1,20.0,0,0,2151,8.05,0,1
13,0,3,1,39.0,1,5,347082,31.275,0,1
14,0,3,0,14.0,0,0,350406,7.8542,0,1
15,1,2,0,55.0,0,0,248706,16.0,0,1
16,0,3,1,2.0,4,1,382652,29.125,1,0
18,0,3,0,31.0,1,0,345763,18.0,0,1
20,0,2,1,35.0,0,0,239865,26.0,0,1
21,1,2,1,34.0,0,0,248698,13.0,0,1
22,1,3,0,15.0,0,0,330923,8.0292,1,0
23,1,1,1,28.0,0,0,113788,35.5,0,1
24,0,3,0,8.0,3,1,349909,21.075,0,1
25,1,3,0,38.0,1,5,347077,31.3875,0,1
27,0,1,1,19.0,3,2,19950,263.0,0,1
30,0,1,1,40.0,0,0,17601,27.7208,0,0
33,0,2,1,66.0,0,0,24579,10.5,0,1
34,0,1,1,28.0,1,0,17604,82.1708,0,0
35,0,1,1,42.0,1,0,113789,52.0,0,1
37,0,3,1,21.0,0,0,2152,8.05,0,1
38,0,3,0,18.0,2,0,345764,18.0,0,1
39,1,3,0,14.0,1,0,2651,11.2417,0,0
40,0,3,0,40.0,1,0,7546,9.475,0,1
41,0,2,0,27.0,1,0,11668,21.0,0,1
43,1,2,0,3.0,1,2,2123,41.5792,0,0
44,1,3,0,19.0,0,0,330958,7.8792,1,0
49,0,3,0,18.0,1,0,349237,17.8,0,1
50,0,3,1,7.0,4,1,3101295,39.6875,0,1
51,0,3,1,21.0,0,0,39886,7.8,0,1
52,1,1,0,49.0,1,0,17572,76.7292,0,0
53,1,2,0,29.0,1,0,2926,26.0,0,1
54,0,1,1,65.0,0,1,113509,61.9792,0,0
56,1,2,0,21.0,0,0,31026,10.5,0,1
57,0,3,1,28.5,0,0,2697,7.2292,0,0
58,1,2,0,5.0,1,2,34651,27.75,0,1
59,0,3,1,11.0,5,2,2144,46.9,0,1
60,0,3,1,22.0,0,0,2669,7.2292,0,0
62,0,1,1,45.0,1,0,36973,83.475,0,1
63,0,3,1,4.0,3,2,347088,27.9,0,1
66,1,2,0,29.0,0,0,29395,10.5,0,1
67,0,3,1,19.0,0,0,3464,8.1583,0,1
68,1,3,0,17.0,4,2,3101281,7.925,0,1
69,0,3,1,26.0,2,0,315151,8.6625,0,1
70,0,2,1,32.0,0,0,33111,10.5,0,1
71,0,3,0,16.0,5,2,2144,46.9,0,1
72,0,2,1,21.0,0,0,14879,73.5,0,1
73,0,3,1,26.0,1,0,2680,14.4542,0,0
74,1,3,1,32.0,0,0,1601,56.4958,0,1
75,0,3,1,25.0,0,0,348123,7.65,0,1
78,1,2,1,0.83,0,2,248738,29.0,0,1
79,1,3,0,30.0,0,0,364516,12.475,0,1
80,0,3,1,22.0,0,0,345767,9.0,0,1
81,1,3,1,29.0,0,0,345779,9.5,0,1
83,0,1,1,28.0,0,0,113059,47.1,0,1
84,1,2,0,17.0,0,0,14885,10.5,0,1
85,1,3,0,33.0,3,0,3101278,15.85,0,1
86,0,3,1,16.0,1,3,6608,34.375,0,1
88,1,1,0,23.0,3,2,19950,263.0,0,1
89,0,3,1,24.0,0,0,343275,8.05,0,1
90,0,3,1,29.0,0,0,343276,8.05,0,1
91,0,3,1,20.0,0,0,347466,7.8542,0,1
92,0,1,1,46.0,1,0,5734,61.175,0,1
93,0,3,1,26.0,1,2,2315,20.575,0,1
94,0,3,1,59.0,0,0,364500,7.25,0,1
96,0,1,1,71.0,0,0,17754,34.6542,0,0
97,1,1,1,23.0,0,1,17759,63.3583,0,0
98,1,2,0,34.0,0,1,231919,23.0,0,1
99,0,2,1,34.0,1,0,244367,26.0,0,1
100,0,3,0,28.0,0,0,349245,7.8958,0,1
102,0,1,1,21.0,0,1,35281,77.2875,0,1
103,0,3,1,33.0,0,0,7540,8.6542,0,1
104,0,3,1,37.0,2,0,3101276,7.925,0,1
105,0,3,1,28.0,0,0,349207,7.8958,0,1
106,1,3,0,21.0,0,0,343120,7.65,0,1
108,0,3,1,38.0,0,0,349249,7.8958,0,1
110,0,1,1,47.0,0,0,110465,52.0,0,1
111,0,3,0,14.5,1,0,2665,14.4542,0,0
112,0,3,1,22.0,0,0,324669,8.05,0,1
113,0,3,0,20.0,1,0,4136,9.825,0,1
114,0,3,0,17.0,0,0,2627,14.4583,0,0
